date,school_intervention,occ_intervention,vaccines,t
2021-02-28,0,0,58.0,125
2021-03-01,0,0,1.0,126
2021-03-02,0,0,3.0,127
2021-03-03,0,0,12.0,128
2021-03-04,0,0,5.0,129
2021-03-05,0,0,7.0,130
2021-03-06,0,0,6.0,131
2021-03-07,0,0,177.0,132
2021-03-08,0,0,2.0,133
2021-03-09,0,0,33.0,134
2021-03-10,0,0,81.0,135
2021-03-11,0,0,146.0,136
2021-03-12,0,0,173.0,137
2021-03-13,0,0,155.0,138
2021-03-14,0,0,266.0,139
2021-03-15,0,0,62.0,140
2021-03-16,0,0,48.0,141
2021-03-17,0,0,126.0,142
2021-03-18,0,0,171.0,143
2021-03-19,0,0,149.0,144
2021-03-20,0,0,185.0,145
2021-03-21,0,0,181.0,146
2021-03-22,0,0,64.0,147
2021-03-23,0,0,35.0,148
2021-03-24,0,0,200.0,149
2021-03-25,0,0,198.0,150
2021-03-26,0,0,176.0,151
2021-03-27,0,0,170.0,152
2021-03-28,0,0,180.0,153
2021-03-29,0,0,67.0,154
2021-03-30,0,0,29.0,155
2021-03-31,0,0,89.0,156
2021-04-01,0,0,168.0,157
2021-04-02,0,0,134.0,158
2021-04-03,0,0,139.0,159
2021-04-04,0,0,119.0,160
2021-04-05,0,0,24.0,161
2021-04-06,0,0,16.0,162
2021-04-07,0,0,94.0,163
2021-04-08,0,0,167.0,164
2021-04-09,0,0,151.0,165
2021-04-10,0,0,153.0,166
2021-04-11,0,0,127.0,167
2021-04-12,0,0,43.0,168
2021-04-13,0,0,20.0,169
2021-04-14,0,0,57.0,170
2021-04-15,0,0,86.0,171
2021-04-16,0,0,94.0,172
2021-04-17,0,0,83.0,173
2021-04-18,0,0,84.0,174
2021-04-19,0,0,13.0,175
2021-04-20,0,0,12.0,176
2021-04-21,0,0,60.0,177
2021-04-22,0,0,52.0,178
2021-04-23,0,0,37.0,179
2021-04-24,0,0,0.0,180
2021-04-25,0,0,0.0,181
