date,cases,deaths,week
2020-10-26,12.0,0.0,2020-10-26
2020-10-27,1.0,0.0,2020-10-26
2020-10-28,47.0,0.0,2020-10-26
2020-10-29,29.0,0.0,2020-10-26
2020-10-30,57.0,0.0,2020-10-26
2020-10-31,39.0,0.0,2020-10-26
2020-11-01,40.0,0.0,2020-10-26
2020-11-02,9.0,0.0,2020-11-02
2020-11-03,45.0,1.0,2020-11-02
2020-11-04,40.0,0.0,2020-11-02
2020-11-05,47.0,0.0,2020-11-02
2020-11-06,51.0,0.0,2020-11-02
2020-11-07,42.0,1.0,2020-11-02
2020-11-08,54.0,0.0,2020-11-02
2020-11-09,22.0,0.0,2020-11-09
2020-11-10,21.0,0.0,2020-11-09
2020-11-11,62.0,0.0,2020-11-09
2020-11-12,60.0,0.0,2020-11-09
2020-11-13,43.0,0.0,2020-11-09
2020-11-14,50.0,0.0,2020-11-09
2020-11-15,37.0,1.0,2020-11-09
2020-11-16,24.0,0.0,2020-11-16
2020-11-17,22.0,0.0,2020-11-16
2020-11-18,35.0,4.0,2020-11-16
2020-11-19,32.0,0.0,2020-11-16
2020-11-20,22.0,5.0,2020-11-16
2020-11-21,11.0,0.0,2020-11-16
2020-11-22,12.0,3.0,2020-11-16
2020-11-23,32.0,0.0,2020-11-23
2020-11-24,35.0,0.0,2020-11-23
2020-11-25,38.0,1.0,2020-11-23
2020-11-26,0.0,0.0,2020-11-23
2020-11-27,59.0,0.0,2020-11-23
2020-11-28,12.0,0.0,2020-11-23
2020-11-29,31.0,0.0,2020-11-23
2020-11-30,26.0,0.0,2020-11-30
2020-12-01,16.0,0.0,2020-11-30
2020-12-02,46.0,0.0,2020-11-30
2020-12-03,30.0,0.0,2020-11-30
2020-12-04,25.0,1.0,2020-11-30
2020-12-05,34.0,0.0,2020-11-30
2020-12-06,16.0,0.0,2020-11-30
2020-12-07,17.0,0.0,2020-12-07
2020-12-08,11.0,0.0,2020-12-07
2020-12-09,30.0,2.0,2020-12-07
2020-12-10,15.0,0.0,2020-12-07
2020-12-11,26.0,0.0,2020-12-07
2020-12-12,17.0,1.0,2020-12-07
2020-12-13,10.0,0.0,2020-12-07
2020-12-14,10.0,0.0,2020-12-14
2020-12-15,4.0,0.0,2020-12-14
2020-12-16,26.0,1.0,2020-12-14
2020-12-17,10.0,0.0,2020-12-14
2020-12-18,19.0,0.0,2020-12-14
2020-12-19,9.0,0.0,2020-12-14
2020-12-20,17.0,0.0,2020-12-14
2020-12-21,18.0,0.0,2020-12-21
2020-12-22,0.0,0.0,2020-12-21
2020-12-23,0.0,0.0,2020-12-21
2020-12-24,0.0,0.0,2020-12-21
